release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,hhs8,201352,201004,204,883,64861,137,305.0,241.0,,159.0,145.0,33.0,1.28619877763959,1.36137278179492
2013-12-31,hhs9,201352,201004,204,2046,93196,255,617.0,730.0,,347.0,209.0,143.0,3.2962536060647,2.19537319198249
2013-12-31,nat,201352,201004,204,15122,785580,2026,5333.0,5655.0,,2560.0,1046.0,528.0,1.96908433236079,1.92494717278953
2013-12-31,hhs1,201352,201005,203,352,37486,142,102.0,193.0,,29.0,17.0,11.0,0.854759255767951,0.939017233100357
2013-12-31,hhs10,201352,201005,203,227,12861,48,96.0,95.0,,27.0,7.0,2.0,1.6252512990225,1.76502604774123
2013-12-31,hhs2,201352,201005,203,2204,110813,184,910.0,792.0,,351.0,98.0,53.0,1.58545486470765,1.98893631613619
2013-12-31,hhs3,201352,201005,203,1734,92016,219,540.0,612.0,,424.0,116.0,42.0,1.81616471415259,1.88445487741262
2013-12-31,hhs4,201352,201005,203,3728,154518,445,1311.0,1650.0,,508.0,190.0,69.0,2.03624343225,2.41266389676284
2013-12-31,hhs5,201352,201005,203,1441,94006,264,552.0,517.0,,234.0,81.0,57.0,1.34787793626527,1.53288087994383
2013-12-31,hhs6,201352,201005,203,2744,74874,187,1092.0,986.0,,415.0,158.0,93.0,3.35978956381445,3.66482357026471
2013-12-31,hhs7,201352,201005,203,682,32503,125,231.0,254.0,,116.0,43.0,38.0,1.93462510771177,2.09826785219826
2013-12-31,hhs8,201352,201005,203,763,63368,132,307.0,270.0,,121.0,46.0,19.0,1.25377862871695,1.20407776795859
2013-12-31,hhs9,201352,201005,203,2162,95328,250,675.0,773.0,,356.0,192.0,166.0,3.32422253179503,2.26795904665995
2013-12-31,nat,201352,201005,203,16037,767773,1996,5816.0,6142.0,,2581.0,948.0,550.0,2.11386811062075,2.0887684250423
2013-12-31,hhs1,201352,201006,202,327,35666,142,83.0,153.0,,44.0,30.0,17.0,0.800756828302453,0.916839567094712
2013-12-31,hhs10,201352,201006,202,229,14423,50,103.0,84.0,,30.0,8.0,4.0,1.39517516881081,1.58774180128961
2013-12-31,hhs2,201352,201006,202,2205,107943,182,960.0,709.0,,375.0,95.0,66.0,1.76617863204257,2.04274478196826
2013-12-31,hhs3,201352,201006,202,1424,85752,223,434.0,453.0,,375.0,117.0,45.0,1.68877360192396,1.66060266815934
2013-12-31,hhs4,201352,201006,202,3651,161400,441,1259.0,1562.0,,552.0,166.0,112.0,1.87385317305363,2.26208178438662
2013-12-31,hhs5,201352,201006,202,1493,90323,256,594.0,509.0,,244.0,87.0,59.0,1.42853459752338,1.65295661127288
2013-12-31,hhs6,201352,201006,202,2323,78298,192,822.0,820.0,,405.0,172.0,104.0,2.74204982803558,2.96687016271169
2013-12-31,hhs7,201352,201006,202,691,32135,124,234.0,257.0,,119.0,40.0,41.0,2.09190755631448,2.15030340749961
